Tweets,Celebrity,Twitter handle,Cloudinary Picture,Category
"There are three ways to cook a hot dog: Boil, grill, and, I just discovered by accident, dry clean.",Conan O`Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
Remember when all we had to worry about was Ebola? Good times.,Conan O`Brien,@ConanOBrien,http://res.cloudinary.com/dgtihmi68/image/upload/v1503954400/ConanOBrien.jpg,Comedians
"Rocks, paper, siccor........",Ryan Lochte,@RyanLochte,http://res.cloudinary.com/dgtihmi68/image/upload/v1503994882/RyanLochte.jpg,Athletes
A bird pooped on me.,Harry Styles,@Harry_Styles,http://res.cloudinary.com/dgtihmi68/image/upload/v1503961011/Harry_Styles.jpg,Musicians
"Do identical twins have the same exact DNA? Like if 1 twin murders someone & leaves their DNA, can the other twin get blamed?",Kim Kardashian,@KimKardashian,http://res.cloudinary.com/dgtihmi68/image/upload/v1503963689/KimKardashian.jpg,Socialite
"There are three ways to cook a hot dog: Boil, grill, and, I just discovered by accident, dry clean.",50 Cent,@50cent,http://res.cloudinary.com/dgtihmi68/image/upload/v1503950576/50cent.jpg,Musicians
Remember when all we had to worry about was Ebola? Good times.,Amy Schumer,@amyschumer,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951723/amyschumer.jpg,Comedians
"Rocks, paper, siccor........",Anna Kendrick,@AnnaKendrick47,http://res.cloudinary.com/dgtihmi68/image/upload/v1503951861/AnnaKendrick47.jpg,Athletes
A bird pooped on me.,Britney Spears,@britneyspears,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953183/britneyspears.jpg,Musicians
"Do identical twins have the same exact DNA? Like if 1 twin murders someone & leaves their DNA, can the other twin get blamed?",Barack Obama,@BarackObama,http://res.cloudinary.com/dgtihmi68/image/upload/v1503952431/BarackObama.jpg,Socialite
"There are three ways to cook a hot dog: Boil, grill, and, I just discovered by accident, dry clean.",Cher,@cher,http://res.cloudinary.com/dgtihmi68/image/upload/v1503953677/cher.jpg,Comedians
Remember when all we had to worry about was Ebola? Good times.,Donald J. Trump,@realDonaldTrump,http://res.cloudinary.com/dgtihmi68/image/upload/v1503955181/realDonaldTrump.jpg,Comedians
"Rocks, paper, siccor........",Ryan Reynolds,@VancityReynolds,http://res.cloudinary.com/dgtihmi68/image/upload/v1503994953/VancityReynolds.jpg,Athletes
A bird pooped on me.,Joan Rivers,@Joan_Rivers,http://res.cloudinary.com/dgtihmi68/image/upload/v1503962405/Joan_Rivers.jpg,Musicians
"Do identical twins have the same exact DNA? Like if 1 twin murders someone & leaves their DNA, can the other twin get blamed?",Taylor Swift,@taylorswift13,http://res.cloudinary.com/dgtihmi68/image/upload/v1503995628/taylorswift13.jpg,Socialite
