,Celebrity,Twitter handle,Category
"A lot can happen in 5 years but for some refugee kids, nothing has changed. Don't forget about them.",Cristiano Ronaldo,@Cristiano,Athletes
"TB one year ago, at the opening of my first hotel!",Cristiano Ronaldo,@Cristiano,Athletes
"I’m always looking for ways to be healthier, faster, and stronger. What are you doing to better yourself?…",Cristiano Ronaldo,@Cristiano,Athletes
Recover stronger with a combination of carbs and protein to aid in muscle repair.,Cristiano Ronaldo,@Cristiano,Athletes
Pick your skill level. Master it. Do it again.,Cristiano Ronaldo,@Cristiano,Athletes
"It's true, I'm in North Korea. Looking forward to sitting down with Kim Jung Un. I love the people of North Korea. #WORMinNorthKorea",Dennis Rodman,@dennisrodman,Athletes
Titanic 100 years wOW. Global warming could have saved titanic. Sad to say,Jose Canseco,@JoseCanseco,Athletes
I was driving last night on a lonely dark road and met this alien or maybe a really ugly girl and it gave me the lottery numbers,Jose Canseco,@JoseCanseco,Athletes
Yes time travel is possible. Will explain later.,Jose Canseco,@JoseCanseco,Athletes
I'm watching the History channel in the club and I'm wondering how do these people kno what's goin on on the sun..ain't nobody ever been,Kevin Durant,@KDTrey5,Athletes
"Muhammad Ali was the greatest boxer of all time. He never allowed his spirits to break. Brain, skills and guts is how you define him.",Mike Tyson,@MikeTyson,Athletes
Does anyone know the helicopter code?!?!,Ryan Lochte,@RyanLochte,Athletes
One of my favorite movies: What Women Want.,Ryan Lochte,@RyanLochte,Athletes
"Rocks, paper, siccor........",Ryan Lochte,@RyanLochte,Athletes
"Well, there you have it. A highly intelligent, experienced woman just debated a giant orange Twitter egg. Your move, America. #debate",J.K. Rowling,@jk_rowling,Authors
"Drunk on a Plane"" movie about me right now, no Samuel L in sight",Amy Schumer,@amyschumer,Comedians
"wine guy at coppola, ""are you sure you want another glass of wine"" me ""yes I'm drinking for 2""",Amy Schumer,@amyschumer,Comedians
"Woops. Got wasted last night and drunk texted $15,000 in donations to Haiti relief efforts.",Aziz Ansari,@azizansari,Comedians
Sorry for being so quiet last couple of days; we've been busy building our bunker. Armageddon outta here!!!,Bette Midler,@BetteMidler,Comedians
Not ashamed to admit I am at my most comfortable and confident walking around a mall.,Billy Eichner,@billyeichner,Comedians
I bet the worst part of dating a documentary filmmaker is when he brings up things you did in the past and sets them to banjo music.,Julieanne Smolinski,@BoobsRadley,Comedians
Just taught my kids about taxes by eating 38% of their ice cream.,Conan O'Brien,@ConanOBrien,Comedians
